"Comment","Designator","Footprint","Quantity","LCSC Part #"
"1uf","C1","Capacitor_SMD:C_0603_1608Metric","1","C15849"
"2.2uf","C2","Capacitor_SMD:C_0603_1608Metric","1","C23630"
"100nf","C3","Capacitor_SMD:C_0402_1005Metric","1","C960916"
"22uf","C4","Capacitor_SMD:C_1206_3216Metric","1","C2858005"
"10uf","C5","Capacitor_SMD:C_1210_3225Metric","1","C342670"
"1uf","C6,C8,C11,C13","Capacitor_SMD:C_1206_3216Metric","4","C1853626"
"100nf","C7,C9,C10,C12","Capacitor_SMD:C_0805_2012Metric","4","C1711"
"D","D1","Diode_SMD:D_SMA","1","C169419"
"D","D14","Diode_SMD:D_SMB","1","C726831"
"JST SH 1.0mm Horizontal 8P","J1","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal","1","C160407"
"JST SH 1.0mm Horizontal 3P","J2,J3,J4,J5","Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal","4","C160403"
"22uH","L1","Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm","1","C1330991"
"121kOhm","R8","Resistor_SMD:R_0402_1005Metric","1","C112303"
"10kOhm","R9","Resistor_SMD:R_0402_1005Metric","1","C25744"
"0.5mOhms","R31","Resistor_SMD:R_2512_6332Metric","1","C154666"
"200kOhm","R34","Resistor_SMD:R_0402_1005Metric","1","C25764"
"AP2204K-3.3","U1","Package_TO_SOT_SMD:SOT-23-5","1","C112032"
"LMR14010ADDCT","U3","Package_TO_SOT_SMD:TSOT-23-6","1","C2070867"
"INA168","U11","Package_TO_SOT_SMD:SOT-23-5","1","C134294"
