"Comment","Designator","Footprint","Quantity","LCSC Part #"
"100nf","C1,C5,C6,C7,C44","Capacitor_SMD:C_0201_0603Metric","5","C2903663"
"1nf","C22,C23,C24","Capacitor_SMD:C_0201_0603Metric","3","C2874741"
"1uf","C26,C43","Capacitor_SMD:C_0603_1608Metric","2","C15849"
"100nf","C27","Capacitor_SMD:C_0603_1608Metric","1","C1591"
"BAT54","D2,D3,D4","Diode_SMD:D_SOD-523","3","C283259"
"PSMN1R4-40YLDX","Q1,Q2,Q3,Q6,Q7,Q8","Package_TO_SOT_SMD:LFPAK56","6","C458253"
"10kOhm","R1,R36,R37,R38","Resistor_SMD:R_0201_0603Metric","4","C473048"
"10Ohm","R2,R3,R4,R5,R6,R7","Resistor_SMD:R_0201_0603Metric","6","C105901"
"100kOhm","R32,R33,R35","Resistor_SMD:R_0201_0603Metric","3","C270364"
"EFM8BB21F16G-C-QFN20R","U1","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","1","C80713"
"FD6288Q","U2","Package_DFN_QFN:HVQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1","C328453"
